StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q27,Q6,Q7,Q8,Q24,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q39_0_GROUP,Q39_0_1_RANK,Q39_0_2_RANK,Q39_0_3_RANK,Q39_0_4_RANK,Q39_0_5_RANK,Q39_0_6_RANK,Q39_0_7_RANK,Q37,Q13,Q14,Q16,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q21_1,Q21_2,Q21_3,Q32,Q43_1,Q43_2,Q43_3,Q44,Q20,Q33,Q34,Q35
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"How frequently do you drink a cup of coffee, on average?",Have you heard of the brand Douwe Egberts?,I have an opinion about the brand Douwe Egberts.,I am well aware of the brand Douwe Egberts.,"If there are other brands similar to this one in terms of quality, I would still prefer Douwe Egberts.",To what degree do you associate the following qualities with Douwe Egberts? - Down-to-earth,To what degree do you associate the following qualities with Douwe Egberts? - Warmth,To what degree do you associate the following qualities with Douwe Egberts? - Excitement,To what degree do you associate the following qualities with Douwe Egberts? - Trendy,To what degree do you associate the following qualities with Douwe Egberts? - Reliable,To what degree do you associate the following qualities with Douwe Egberts? - Expertise,To what degree do you associate the following qualities with Douwe Egberts? - Upper class,To what degree do you associate the following qualities with Douwe Egberts? - Glamorous,To what degree do you associate the following qualities with Douwe Egberts? - Likability,To what degree do you associate the following qualities with Douwe Egberts? - Uniqueness,Which of the following brands has your highest preference? Please select at least a minimum of one brand and a maximum of three brands. - Groups - Top 3 Most preferred brands,Which of the following brands has your highest preference? Please select at least a minimum of one brand and a maximum of three brands. - Ranks - Top 3 Most preferred brands - Douwe Egberts - Rank,Which of the following brands has your highest preference? Please select at least a minimum of one brand and a maximum of three brands. - Ranks - Top 3 Most preferred brands - Nespresso - Rank,Which of the following brands has your highest preference? Please select at least a minimum of one brand and a maximum of three brands. - Ranks - Top 3 Most preferred brands - Lavazza - Rank,Which of the following brands has your highest preference? Please select at least a minimum of one brand and a maximum of three brands. - Ranks - Top 3 Most preferred brands - Starbucks - Rank,Which of the following brands has your highest preference? Please select at least a minimum of one brand and a maximum of three brands. - Ranks - Top 3 Most preferred brands - Illy - Rank,Which of the following brands has your highest preference? Please select at least a minimum of one brand and a maximum of three brands. - Ranks - Top 3 Most preferred brands - Segafredo - Rank,Which of the following brands has your highest preference? Please select at least a minimum of one brand and a maximum of three brands. - Ranks - Top 3 Most preferred brands - Other - Rank,"If ""Other"" was part of your most preferred brands, please indicate which brand this is. (optional)",To what extent are you satisfied with the quality of Douwe Egberts products?,How often do you purchase Douwe Egberts products? Please select the option that comes closest to your purchasing behaviour.,From where do you most frequently purchase Douwe Egberts products?,"Why do you buy Douwe Egberts products? Please drag and drop the categories underneath to make a ranking from 1 to 7.
For example: If ""convenience"" is ranked at number 1, this means that you mainly choose to purchase Douwe Egberts products because of the convenience the brand offers. - Price","Why do you buy Douwe Egberts products? Please drag and drop the categories underneath to make a ranking from 1 to 7.
For example: If ""convenience"" is ranked at number 1, this means that you mainly choose to purchase Douwe Egberts products because of the convenience the brand offers. - Quality","Why do you buy Douwe Egberts products? Please drag and drop the categories underneath to make a ranking from 1 to 7.
For example: If ""convenience"" is ranked at number 1, this means that you mainly choose to purchase Douwe Egberts products because of the convenience the brand offers. - Convenience","Why do you buy Douwe Egberts products? Please drag and drop the categories underneath to make a ranking from 1 to 7.
For example: If ""convenience"" is ranked at number 1, this means that you mainly choose to purchase Douwe Egberts products because of the convenience the brand offers. - Availability","Why do you buy Douwe Egberts products? Please drag and drop the categories underneath to make a ranking from 1 to 7.
For example: If ""convenience"" is ranked at number 1, this means that you mainly choose to purchase Douwe Egberts products because of the convenience the brand offers. - The character of the brand","Why do you buy Douwe Egberts products? Please drag and drop the categories underneath to make a ranking from 1 to 7.
For example: If ""convenience"" is ranked at number 1, this means that you mainly choose to purchase Douwe Egberts products because of the convenience the brand offers. - Brand cultural heritage","Why do you buy Douwe Egberts products? Please drag and drop the categories underneath to make a ranking from 1 to 7.
For example: If ""convenience"" is ranked at number 1, this means that you mainly choose to purchase Douwe Egberts products because of the convenience the brand offers. - Other",To what extent do you think that the following product categories are consistent with the Douwe Egberts brand? - Textiles,To what extent do you think that the following product categories are consistent with the Douwe Egberts brand? - Kitchen utensils,To what extent do you think that the following product categories are consistent with the Douwe Egberts brand? - Stationary,Please write down why you think some product categories fit better than others. (optional),How likely are you to purchase from the following product categories if Douwe Egberts were to produce them? - Textiles,How likely are you to purchase from the following product categories if Douwe Egberts were to produce them? - Kitchen utensils,How likely are you to purchase from the following product categories if Douwe Egberts were to produce them? - Stationary,Please write down why you would purchase from certain categories over the other(s) (optional),To what extent do you think it is important to buy a sustainable product?,What is your gender?,What is your age in years??,Do you have any closing remarks about the survey? (optional)
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID73""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID70""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_3""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID58_5""}","{""ImportId"":""QID58_6""}","{""ImportId"":""QID58_7""}","{""ImportId"":""QID58_8""}","{""ImportId"":""QID58_9""}","{""ImportId"":""QID58_10""}","{""ImportId"":""QID85_0_GROUP""}","{""ImportId"":""QID85_G0_1_RANK""}","{""ImportId"":""QID85_G0_2_RANK""}","{""ImportId"":""QID85_G0_3_RANK""}","{""ImportId"":""QID85_G0_4_RANK""}","{""ImportId"":""QID85_G0_5_RANK""}","{""ImportId"":""QID85_G0_6_RANK""}","{""ImportId"":""QID85_G0_7_RANK""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID62""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID61_5""}","{""ImportId"":""QID61_6""}","{""ImportId"":""QID61_7""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID67_2""}","{""ImportId"":""QID67_3""}","{""ImportId"":""QID78_TEXT""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID89_2""}","{""ImportId"":""QID89_3""}","{""ImportId"":""QID90_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80_TEXT""}","{""ImportId"":""QID81_TEXT""}"
2020-09-30 10:09:18,2020-09-30 10:12:01,Survey Preview,,100,163,True,2020-09-30 10:12:01,R_1PcUMO5CxsF7EeD,,,,,52.69580078125,6.1956024169921875,preview,EN,Monthly,Yes,Agree,Slightly agree,Agree,Neutral,Neutral,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,Totally agree,Slightly agree,Slightly agree,"Douwe Egberts,Lavazza,Starbucks",1,,2,3,,,,,Very satisfied,2-3 times per month,Cafe,6,1,5,4,2,3,,Very consistent,Consistent,Neutral,,,,,,Quite important,Male,20,
2020-09-30 16:27:15,2020-09-30 16:31:25,IP Address,143.179.122.217,100,249,True,2020-09-30 16:31:26,R_WD8Z35UDSvT1nzj,,,,,52.0182037353515625,4.4456024169921875,anonymous,EN,Daily,Yes,Slightly agree,Neutral,Slightly disagree,Totally agree,Totally agree,Slightly disgaree,Slightly disgaree,Slightly agree,Slightly agree,Slightly disgaree,Slightly disgaree,Slightly agree,Slightly disgaree,"Starbucks,Nespresso,Douwe Egberts",3,2,,1,,,,,Satisfied,2-3 times per month,Coffee machines,4,1,3,2,5,6,,Inconsistent,Consistent,Consistent,,,,,,Quite unimportant,Female,23,
2020-10-01 10:25:22,2020-10-01 10:32:58,IP Address,84.28.229.6,100,456,True,2020-10-01 10:33:00,R_2V8fuk3Fh8bdKUc,,,,,53.218902587890625,6.5475006103515625,anonymous,EN,Weekly,Yes,Slightly agree,Agree,Agree,Slightly agree,Neutral,Totally disagree,Totally disagree,Slightly agree,Totally agree,Slightly disgaree,Totally disagree,Totally agree,Slightly agree,"Douwe Egberts,Nespresso,Starbucks",1,2,,3,,,,,Very satisfied,2-3 times per month,Coffee machines,3,2,4,1,5,6,7,Inconsistent,Consistent,Inconsistent,I don't relate coffee to bedsheets and notebooks. I think it fits better in the kitchen.,Unlikely,Neutral,Unlikely,,Quite unimportant,Male,25,
2020-10-01 10:34:57,2020-10-01 10:39:52,IP Address,213.127.97.35,100,294,True,2020-10-01 10:39:52,R_3NQAAZ4rQD8wLqI,,,,,52.3594970703125,4.8686065673828125,anonymous,NL,Daily,Yes,Neutral,Slightly agree,Disagree,Neutral,Neutral,Totally disagree,Totally disagree,Slightly agree,Slightly agree,Slightly agree,Slightly disgaree,Neutral,Slightly disgaree,"Other,Lavazza,Nespresso",,3,2,,,,1,Kanis en Gunnik,Neutral,Never,,,,,,,,,Consistent,Neutral,Very inconsistent,"Zelfde product categorie ",Likely,Likely,Very unlikely,,Quite important,Male,24,
2020-10-01 17:31:51,2020-10-01 17:37:26,IP Address,94.212.59.248,100,335,True,2020-10-01 17:37:27,R_3nilKX7DcFBoPQp,,,,,53.206298828125,6.569000244140625,anonymous,NL,Daily,Yes,Slightly agree,Slightly agree,Slightly disagree,Neutral,Slightly agree,Slightly disgaree,Slightly disgaree,Slightly agree,Slightly agree,Slightly agree,Slightly agree,Neutral,Slightly agree,"Other,Douwe Egberts,Nespresso",2,3,,,,,1,max havelaar,Satisfied,2-3 per year,Cafe,6,2,3,1,4,5,7,Inconsistent,Consistent,Consistent,ik associeer koffie met keuken en werk (je werkt aan een bureau),Unlikely,Unlikely,Unlikely,,Neutral,Male,30,
2020-10-01 22:20:00,2020-10-01 22:22:24,IP Address,92.64.249.224,100,143,True,2020-10-01 22:22:24,R_1QASNcEGSAhTyWK,,,,,53.047393798828125,6.6410980224609375,anonymous,NL,Daily,Yes,Neutral,Neutral,Neutral,Neutral,Slightly agree,Slightly agree,Totally agree,Slightly agree,Slightly agree,Totally agree,Slightly agree,Neutral,Neutral,"Douwe Egberts,Nespresso,Segafredo",1,2,,,,3,,,Neutral,1 time per year,Supermarket,4,1,2,3,5,6,7,Consistent,Neutral,Consistent,,Neutral,Unlikely,Likely,,Neutral,Male,27,
2020-10-02 21:37:30,2020-10-02 21:40:04,IP Address,94.212.54.54,100,154,True,2020-10-02 21:40:10,R_0uMVtaDL9uKHUJz,,,,,53.2252960205078125,6.581298828125,anonymous,NL,Never,Yes,Disagree,Agree,Neutral,Slightly agree,Slightly agree,Slightly disgaree,Slightly disgaree,Slightly agree,Slightly agree,Slightly agree,Slightly disgaree,Slightly agree,Neutral,"Nespresso,Douwe Egberts,Segafredo",2,1,,,,3,,,Neutral,Never,,,,,,,,,Consistent,Consistent,Inconsistent,,Neutral,Neutral,Neutral,,Quite important,Female,22,
2020-10-03 13:26:43,2020-10-03 13:37:04,IP Address,217.105.100.155,100,620,True,2020-10-03 13:37:05,R_3hz0YgUwsV4Zh2y,,,,,53.2252960205078125,6.581298828125,anonymous,NL,Daily,Yes,Agree,Agree,Slightly agree,Totally agree,Totally agree,Slightly disgaree,Totally disagree,Totally agree,Totally agree,Totally agree,Totally disagree,Slightly agree,Slightly agree,"Douwe Egberts,Lavazza,Nespresso",1,3,2,,,,,,Very satisfied,2-3 times per month,Supermarket,3,1,6,5,2,4,7,Consistent,Very consistent,Inconsistent,,Unlikely,Likely,Unlikely,,Quite important,Female,24,
